"","timedelta","n_tokens_title","n_tokens_content","n_unique_tokens","n_non_stop_words","n_non_stop_unique_tokens","num_hrefs","num_self_hrefs","num_imgs","num_videos","average_token_length","num_keywords","data_channel_is_lifestyle","data_channel_is_entertainment","data_channel_is_bus","data_channel_is_socmed","data_channel_is_tech","data_channel_is_world","kw_min_min","kw_max_min","kw_avg_min","kw_min_max","kw_max_max","kw_avg_max","kw_min_avg","kw_max_avg","kw_avg_avg","self_reference_min_shares","self_reference_max_shares","self_reference_avg_sharess","weekday_is_monday","weekday_is_tuesday","weekday_is_wednesday","weekday_is_thursday","weekday_is_friday","weekday_is_saturday","weekday_is_sunday","is_weekend","LDA_00","LDA_01","LDA_02","LDA_03","LDA_04","global_subjectivity","global_sentiment_polarity","global_rate_positive_words","global_rate_negative_words","rate_positive_words","rate_negative_words","avg_positive_polarity","min_positive_polarity","max_positive_polarity","avg_negative_polarity","min_negative_polarity","max_negative_polarity","title_subjectivity","title_sentiment_polarity","abs_title_subjectivity","abs_title_sentiment_polarity","shares"
"timedelta","","-24.03 |  0","-6.29 |  0","","","","","6.45 |  0","-2.76 |  3.72520203573146e-06","","13.05 |  0","4.69 |  0","5.45 |  0","-4.91 |  0","5.58 |  0","7.63 |  0","8.33 |  0","-17.02 |  0","59.12 |  0","2.95 |  4.21916879211892e-07","13.32 |  0","-7.66 |  0","-63.78 |  0","-49.31 |  0","-15.72 |  0","-5.18 |  0","-16.32 |  0","-1.14 |  2.27653087041815","-1.45 |  0.388421988310483","-1.57 |  0.182607197605633","","","1 |  4.7327779409061","","","","","","8.09 |  0","","-14.17 |  0","-3.08 |  8.17932388486042e-08","9.29 |  0","13.38 |  0","15.86 |  0","20.76 |  0","1.03 |  4.09600452281911","19.87 |  0","-7.2 |  0","12.63 |  0","5.48 |  0","9.83 |  0","","6.22 |  0","-6.32 |  0","-1.59 |  0.152634486641845","3.87 |  1.24344978758018e-12","1.16 |  2.14577252964914","",""
"n_tokens_title","","","1.82 |  0.0299287883011257","","","","-5.35 |  0","-1.49 |  0.309588372494929","","5.15 |  0","-7.14 |  0","","-7.08 |  0","13.28 |  0","-2.39 |  0.000193948069493466","-9.04 |  0","-4.67 |  0","4.92 |  0","-11.07 |  0","","-3.14 |  4.01715327669194e-08","1.29 |  1.00638651006335","12.08 |  0","11.57 |  0","","","","","","","","","","-1.55 |  0.206516137721469","","-1.5 |  0.279708591416838","","","-7 |  0","6.36 |  0","3.84 |  2.1538326677728e-12","4.22 |  0","-6.51 |  0","-5.68 |  0","-7.22 |  0","-6.5 |  0","1.55 |  0.19870866303251","-6.66 |  0","3.42 |  9.86832837668317e-10","-4.96 |  0","-2.51 |  5.97652394018766e-05","-2.17 |  0.00160769835582109","-1.71 |  0.0663894548365462","-2.91 |  6.46819597882597e-07","1.14 |  2.29223841258763","7.72 |  0","","-14.7 |  0","4.05 |  6.66133814775094e-14",""
"n_tokens_content","","","","","1.75 |  0.04886763492844","","42.31 |  0","30.47 |  0","34.26 |  0","10.37 |  0","16.78 |  0","7.28 |  0","3.75 |  7.50510764646606e-12","6.02 |  0","","3.34 |  2.8027802301267e-09","2.54 |  4.19947681518096e-05","5.6 |  0","-5.43 |  0","","","-2.28 |  0.000569691722041021","5.89 |  0","-9.65 |  0","-2.23 |  0.000909239774915527","-3.05 |  1.2530223525431e-07","-7.96 |  0","-3.07 |  9.89917925409145e-08","2.57 |  3.23390314527217e-05","-1.38 |  0.596726439395145","","","-1.69 |  0.0770481686635849","","-1.59 |  0.149446249717489","3.45 |  6.039169164751e-10","3.64 |  4.21440660147709e-11","5.2 |  0","2.62 |  1.77958635161346e-05","","8.73 |  0","-14.01 |  0","4.13 |  2.22044604925031e-14","12.79 |  0","2.19 |  0.00125319099009147","13.4 |  0","12.5 |  0","9.9 |  0","10.11 |  0","13.51 |  0","-26.15 |  0","41.57 |  0","-13.04 |  0","-45.06 |  0","22.59 |  0","","2.34 |  0.000330014094451769","","1.34 |  0.745262109983069",""
"n_unique_tokens","","","","","99.96 |  0","99.99 |  0","","","1.88 |  0.0181265046138135","","2.64 |  1.451723217194e-05","","","1.1 |  2.82780524340567","","","","","","","","","","","","","","","","","","1.05 |  3.58902456550956","","","","","","","","","","","","","","","","","","","","","","0.99 |  4.86526874068227","","","","","",""
"n_non_stop_words","","","","","","99.95 |  0","","1.36 |  0.678050086024307","2.85 |  1.40473508380978e-06","","3.16 |  3.30119709346377e-08","","","1.09 |  2.99409764509551","","","","","","","","","","","","","","","","","","1.05 |  3.65426438702725","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n_non_stop_unique_tokens","","","","","","","","","1.42 |  0.460595879341952","","3.42 |  9.87299131338659e-10","","","1.06 |  3.56135576592176","","","","","","","","","","","","","","","","","","1.05 |  3.6383980103821","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"num_hrefs","","","","","","","","39.65 |  0","34.26 |  0","11.45 |  0","22.26 |  0","12.59 |  0","5.29 |  0","","-5.84 |  0","5.05 |  0","-6.17 |  0","-3.16 |  3.24480442515096e-08","-4.33 |  0","1.28 |  1.05472822464228","","-2.01 |  0.0060145649319221","5.13 |  0","-1.93 |  0.0124664205713554","5.89 |  0","6.97 |  0","12.14 |  0","","8.04 |  0","2.52 |  5.00961015337253e-05","","-1.07 |  3.32760534091463","-3.24 |  1.04668274047981e-08","-1.28 |  1.09623465473776","","5.47 |  0","4.42 |  0","7.23 |  0","-2.01 |  0.00627352873698861","-5.38 |  0","-1.25 |  1.25927680357636","12.38 |  0","-5.5 |  0","20.35 |  0","8.69 |  0","5.64 |  0","3.25 |  9.44948563841308e-09","10.17 |  0","5.98 |  0","18.82 |  0","-8.22 |  0","28.67 |  0","-15.21 |  0","-26.36 |  0","5.49 |  0","4.39 |  0","3.9 |  7.54951656745106e-13","","5.65 |  0","4.54 |  0"
"num_self_hrefs","","","","","","","","","23.86 |  0","7.75 |  0","12.69 |  0","9.96 |  0","-4.77 |  0","2.46 |  9.70866146587923e-05","-5.51 |  0","9.21 |  0","16.67 |  0","-11.88 |  0","-1.29 |  1.02385358290689","","","-2.59 |  2.49023541787352e-05","","-6.47 |  0","3.92 |  5.32907051820075e-13","-1.36 |  0.665519639014756","-1.56 |  0.187575439584542","-3.12 |  4.99508434614881e-08","13.02 |  0","2.22 |  0.00102432146991127","1.21 |  1.57341629316483","","-2.04 |  0.00506250952023723","-1.45 |  0.399563421009863","-2.16 |  0.00165219272483252","4.43 |  0","2.15 |  0.00193461806565765","4.78 |  0","-2.17 |  0.00156446326342596","","-8.5 |  0","-2.88 |  1.00187138585284e-06","13.54 |  0","11.53 |  0","9.01 |  0","12.11 |  0","1.14 |  2.28246413144637","14.21 |  0","-1.02 |  4.25349980272562","9.81 |  0","-7.26 |  0","18.99 |  0","-5.82 |  0","-12.21 |  0","3.92 |  6.21724893790088e-13","-1.12 |  2.52316195033659","2.62 |  1.76947954511064e-05","","",""
"num_imgs","","","","","","","","","","-6.73 |  0","3.39 |  1.41560096977855e-09","8.84 |  0","1.03 |  4.10634569491246","9.93 |  0","-14.25 |  0","","","-10.65 |  0","-4.38 |  0","","","","5.13 |  0","","8.1 |  0","6.44 |  0","14.52 |  0","","3.51 |  2.867039938792e-10","2.09 |  0.00316358163574559","","","-2.47 |  8.95450926741148e-05","","","2.9 |  7.96674570757716e-07","4.33 |  0","5.32 |  0","-15.04 |  0","5.01 |  0","-9.45 |  0","20.89 |  0","-2.28 |  0.00057278550147366","8.05 |  0","2.11 |  0.00269370107373046","-4.16 |  0","2.48 |  8.10456119104686e-05","-2.17 |  0.00150675175065729","4 |  1.55431223447522e-13","9.64 |  0","-2.47 |  8.87433035723362e-05","15.52 |  0","-7.25 |  0","-13.65 |  0","4.26 |  0","5.68 |  0","4.63 |  0","-1.38 |  0.615036685260106","6.33 |  0","3.94 |  4.44089209850063e-13"
"num_videos","","","","","","","","","","","","-2.23 |  0.000933859828000649","-4.46 |  0","14.68 |  0","-6.47 |  0","","-9.32 |  0","-8.86 |  0","1.47 |  0.339492846099199","","","4.34 |  0","","13.62 |  0","5.89 |  0","4.5 |  0","10.68 |  0","","7.83 |  0","3.45 |  6.42641495574026e-10","","","","","","","-1.46 |  0.369784283247121","-1.61 |  0.139078630291767","-7.05 |  0","1.19 |  1.80604551788626","-9.3 |  0","26.77 |  0","-12.74 |  0","8.21 |  0","-2.84 |  1.49351186973234e-06","7.23 |  0","17.92 |  0","-4.35 |  0","7.41 |  0","9.74 |  0","-1.01 |  4.42550831496815","12.57 |  0","-11.6 |  0","-13.82 |  0","2.73 |  5.73772258594119e-06","6.1 |  0","2.2 |  0.00120422226506101","-2.2 |  0.00120260472642464","5.52 |  0","2.39 |  0.000187550871322273"
"average_token_length","","","","","","","","","","","","-1.68 |  0.08141070214156","1.12 |  2.62731891132986","-3.94 |  4.44089209850063e-13","7.17 |  0","2.49 |  6.96300189950705e-05","1.91 |  0.0138525889698649","7.99 |  0","3.37 |  2.05835348765504e-09","","1.17 |  1.94551453046565","-4.24 |  0","-3.76 |  6.57252030578093e-12","-15.74 |  0","-7.67 |  0","-4.64 |  0","-13.64 |  0","3.17 |  2.66020538930434e-08","3.85 |  1.82076576038526e-12","4.05 |  8.88178419700125e-14","","","","","","","","","7.89 |  0","-2.2 |  0.00117037899773909","9.91 |  0","-18.17 |  0","3.37 |  1.82815984572926e-09","59.76 |  0","17.85 |  0","32.29 |  0","22.87 |  0","57.89 |  0","32.25 |  0","54.01 |  0","22.22 |  0","47.14 |  0","-32.45 |  0","-27.88 |  0","-19.47 |  0","-4.04 |  8.88178419700125e-14","-1.67 |  0.0871922615226062","2.66 |  1.19558335676118e-05","-3.7 |  1.84074977482851e-11","-2.2 |  0.00117474929024475"
"num_keywords","","","","","","","","","","","","","12.46 |  0","-7.29 |  0","-16.65 |  0","-8.77 |  0","13.79 |  0","1.79 |  0.0355611438850989","","7.75 |  0","7.51 |  0","-27.8 |  0","","-33.22 |  0","-27.2 |  0","11.4 |  0","2.38 |  0.000218082664105168","","1.05 |  3.70319472015956","","-1.95 |  0.0104103533590694","","-1.98 |  0.00811792695318836","-1.42 |  0.466485209828682","","4.26 |  0","5.88 |  0","7.46 |  0","-15.49 |  0","-6.24 |  0","-1.96 |  0.00917895520142764","2.27 |  0.000602637428936958","18.43 |  0","3.86 |  1.48769885299771e-12","8.34 |  0","5.05 |  0","-3.8 |  3.95239396766556e-12","3.54 |  1.89359639080067e-10","-7.09 |  0","3.37 |  1.92414972843835e-09","-1.59 |  0.155643289638796","6.24 |  0","2.11 |  0.00261979185958161","","2.8 |  2.36210508930412e-06","1.6 |  0.142954924149752","3.17 |  2.71616729108359e-08","-1.1 |  2.86311516011573","2.35 |  0.000278524466246211","2.18 |  0.00139552472981919"
"data_channel_is_lifestyle","","","","","","","","","","","","","","-11 |  0","-10.24 |  0","-5.9 |  0","-11.28 |  0","-12.28 |  0","4.92 |  0","2.79 |  2.78222900274017e-06","3.74 |  9.63673585374636e-12","-2.58 |  2.81249235678516e-05","-5.31 |  0","-13.21 |  0","-1 |  4.54941385191723","3.92 |  6.21724893790088e-13","5.07 |  0","","-1.3 |  0.968423571493204","","","-1.66 |  0.0971601887849394","","","","2.44 |  0.000121707340894339","2.89 |  8.45400993654266e-07","3.91 |  6.21724893790088e-13","","-8.12 |  0","-11.62 |  0","-6.31 |  0","24.57 |  0","6.04 |  0","7.87 |  0","6.42 |  0","","5.03 |  0","-3.19 |  2.19273710300172e-08","6.57 |  0","","6.76 |  0","","-2.39 |  0.000196228914051133","1.03 |  3.94274767757814","","3.35 |  2.40523156946892e-09","","1.8 |  0.034721428656348",""
"data_channel_is_entertainment","","","","","","","","","","","","","","","-20.15 |  0","-11.61 |  0","-22.19 |  0","-24.18 |  0","-3.46 |  5.55688828285383e-10","-1.18 |  1.85532819742074","-1.95 |  0.010296259647502","","3.18 |  2.40824249431171e-08","-5.27 |  0","","","","-3.06 |  1.16917475700973e-07","-1.59 |  0.156865026594977","-2.62 |  1.82136208559669e-05","3.04 |  1.43776635042059e-07","","","-1.07 |  3.36655797593108","","-1.55 |  0.201734220493499","1.27 |  1.15119633484755","","-21.02 |  0","59.94 |  0","-20.81 |  0","20.91 |  0","-27.49 |  0","3.44 |  7.05036029557959e-10","-3.79 |  4.35207425653061e-12","2.27 |  0.000606455075891077","10.5 |  0","-3.87 |  1.28785870856518e-12","5.1 |  0","5.33 |  0","-1.26 |  1.18004757399044","7.69 |  0","-12.61 |  0","-10.54 |  0","-1.52 |  0.241616846231851","4.8 |  0","-1.19 |  1.74820936329909","-5.13 |  0","3.24 |  1.10607079051306e-08","-1.7 |  0.0708655627332355"
"data_channel_is_bus","","","","","","","","","","","","","","","","-10.8 |  0","-20.65 |  0","-22.49 |  0","1.96 |  0.00920072302181829","-1.25 |  1.25449020335109","","4.96 |  0","-1.92 |  0.013163766060198","18 |  0","","-2.79 |  2.89441808298818e-06","-6.05 |  0","","","","1.88 |  0.0183439577168709","","1.73 |  0.0591527067679287","1.55 |  0.198312358069286","-1.34 |  0.765801963640156","-4.14 |  0","-2.43 |  0.00013051034604139","-4.78 |  0","77.47 |  0","-12.68 |  0","-20.79 |  0","-23.12 |  0","-16.92 |  0","-2.81 |  2.25153991006977e-06","7.36 |  0","8.91 |  0","-7.51 |  0","12.65 |  0","-8.22 |  0","","-5.35 |  0","1.97 |  0.00878033409108525","5.66 |  0","6.23 |  0","","-4.44 |  0","1.43 |  0.442151028657634","","-3.25 |  9.76707603683735e-09","-1.24 |  1.37315459904959"
"data_channel_is_socmed","","","","","","","","","","","","","","","","","-11.9 |  0","-12.96 |  0","4.02 |  1.33226762955019e-13","","3 |  2.41539632739318e-07","5.95 |  0","-3.94 |  3.99680288865056e-13","-6.05 |  0","4.42 |  0","-1.01 |  4.48248821937405","1.66 |  0.0928472393085578","1.65 |  0.102160772813864","3.29 |  5.45408163077354e-09","2.42 |  0.000148346062900373","-1.53 |  0.229474872333069","","","1.03 |  3.98996647739089","","1.62 |  0.128798587624135","-0.99 |  4.86186317005608","","19.56 |  0","-6.96 |  0","-1.86 |  0.02163454510824","-3.8 |  3.50830475781549e-12","-6.81 |  0","3.4 |  1.31872290864976e-09","6.7 |  0","10.1 |  0","-1.97 |  0.00846224081452185","8.13 |  0","-6.01 |  0","1.01 |  4.51415648723015","-6.04 |  0","2.7 |  7.84978197998498e-06","","","-1.13 |  2.40618860264235","-1.68 |  0.0826285624840217","2.44 |  0.000113853035643707","1.17 |  2.01574189420417","",""
"data_channel_is_tech","","","","","","","","","","","","","","","","","","-24.78 |  0","2.65 |  1.3197071746518e-05","","","-5.43 |  0","-3.4 |  1.32625022075672e-09","-16.17 |  0","-5.05 |  0","-8.39 |  0","-14.1 |  0","1.03 |  4.09331921558134","1.69 |  0.0742111298799308","1.61 |  0.135240550509153","","1.74 |  0.0513942203326234","","","-1.25 |  1.30432551406936","1.9 |  0.015645246012852","-2.85 |  1.43716158973461e-06","","-20.04 |  0","-16.5 |  0","-17.94 |  0","-26.16 |  0","74.97 |  0","5.49 |  0","13.02 |  0","8.95 |  0","-9.59 |  0","16.15 |  0","-11.41 |  0","1.48 |  0.329122894515388","2.49 |  7.26308062581893e-05","2.92 |  5.88394222234001e-07","11.48 |  0","11.61 |  0","2.4 |  0.000170704418622769","-4.3 |  0","2.68 |  9.14364184367855e-06","","-4.22 |  0","-1.33 |  0.83203431304939"
"data_channel_is_world","","","","","","","","","","","","","","","","","","","-7.71 |  0","-1.56 |  0.187901516413191","-3.65 |  3.76143560743003e-11","-6.03 |  0","8.11 |  0","-11.84 |  0","-12.97 |  0","-7.77 |  0","-24.09 |  0","-3.16 |  3.15599546496514e-08","-5.13 |  0","-4.87 |  0","-0.99 |  4.91858751643504","","","","1.64 |  0.11172497212284","","","","-23.33 |  0","-20.58 |  0","83.66 |  0","-26.64 |  0","-17.58 |  0","-17.92 |  0","-22.92 |  0","-24.72 |  0","1.89 |  0.0172901677689241","-16.06 |  0","19.28 |  0","-14.55 |  0","-5.07 |  0","-12.11 |  0","2.94 |  4.51015735869476e-07","-6.94 |  0","7.41 |  0","-6.21 |  0","-8.1 |  0","5.31 |  0","-6.51 |  0","-4.95 |  0"
