"","timedelta","n_tokens_title","n_tokens_content","n_unique_tokens","n_non_stop_words","n_non_stop_unique_tokens","num_hrefs","num_self_hrefs","num_imgs","num_videos","average_token_length","num_keywords","data_channel_is_lifestyle","data_channel_is_entertainment","data_channel_is_bus","data_channel_is_socmed","data_channel_is_tech","data_channel_is_world","kw_min_min","kw_max_min","kw_avg_min","kw_min_max","kw_max_max","kw_avg_max","kw_min_avg","kw_max_avg","kw_avg_avg","self_reference_min_shares","self_reference_max_shares","self_reference_avg_sharess","weekday_is_monday","weekday_is_tuesday","weekday_is_wednesday","weekday_is_thursday","weekday_is_friday","weekday_is_saturday","weekday_is_sunday","is_weekend","LDA_00","LDA_01","LDA_02","LDA_03","LDA_04","global_subjectivity","global_sentiment_polarity","global_rate_positive_words","global_rate_negative_words","rate_positive_words","rate_negative_words","avg_positive_polarity","min_positive_polarity","max_positive_polarity","avg_negative_polarity","min_negative_polarity","max_negative_polarity","title_subjectivity","title_sentiment_polarity","abs_title_subjectivity","abs_title_sentiment_polarity","shares"
"timedelta","","-24.03 |  0","","","","","","","","","13.05 |  0","","","","","","","-17.02 |  0","59.12 |  0","","13.32 |  0","","-63.78 |  0","-49.31 |  0","-15.72 |  0","","-16.32 |  0","","","","","","","","","","","","","","-14.17 |  0","","","13.38 |  0","15.86 |  0","20.76 |  0","","19.87 |  0","","12.63 |  0","","","","","","","","","","0.00866228807717562"
"n_tokens_title","","","","","","","","","","","","","","13.28 |  0","","","","","-11.07 |  0","","","","12.08 |  0","11.57 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.7 |  0","","0.0087831187993288"
"n_tokens_content","","","","","","","42.31 |  0","30.47 |  0","34.26 |  0","10.37 |  0","16.78 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.01 |  0","","12.79 |  0","","13.4 |  0","12.5 |  0","","10.11 |  0","13.51 |  0","-26.15 |  0","41.57 |  0","-13.04 |  0","-45.06 |  0","22.59 |  0","","","","","0.00245898426510394"
"n_unique_tokens","","","","","99.96 |  0","99.99 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000806345662567765"
"n_non_stop_words","","","","","","99.95 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000442941614892334"
"n_non_stop_unique_tokens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000114171962195542"
"num_hrefs","","","","","","","","39.65 |  0","34.26 |  0","11.45 |  0","22.26 |  0","12.59 |  0","","","","","","","","","","","","","","","12.14 |  0","","","","","","","","","","","","","","","12.38 |  0","","20.35 |  0","","","","10.17 |  0","","18.82 |  0","","28.67 |  0","-15.21 |  0","-26.36 |  0","","","","","","0.0454040095210075"
"num_self_hrefs","","","","","","","","","23.86 |  0","","12.69 |  0","","","","","","16.67 |  0","-11.88 |  0","","","","","","","","","","","13.02 |  0","","","","","","","","","","","","","","13.54 |  0","11.53 |  0","","12.11 |  0","","14.21 |  0","","","","18.99 |  0","","-12.21 |  0","","","","","","-0.00190040341112763"
"num_imgs","","","","","","","","","","","","","","","-14.25 |  0","","","-10.65 |  0","","","","","","","","","14.52 |  0","","","","","","","","","","","","-15.04 |  0","","","20.89 |  0","","","","","","","","","","15.52 |  0","","-13.65 |  0","","","","","","0.0393875986337662"
"num_videos","","","","","","","","","","","","","","14.68 |  0","","","","","","","","","","13.62 |  0","","","10.68 |  0","","","","","","","","","","","","","","","26.77 |  0","-12.74 |  0","","","","17.92 |  0","","","","","12.57 |  0","-11.6 |  0","-13.82 |  0","","","","","","0.0239360686391592"
"average_token_length","","","","","","","","","","","","","","","","","","","","","","","","-15.74 |  0","","","-13.64 |  0","","","","","","","","","","","","","","","-18.17 |  0","","59.76 |  0","17.85 |  0","32.29 |  0","22.87 |  0","57.89 |  0","32.25 |  0","54.01 |  0","22.22 |  0","47.14 |  0","-32.45 |  0","-27.88 |  0","-19.47 |  0","","","","","-0.0220072995871305"
"num_keywords","","","","","","","","","","","","","12.46 |  0","","-16.65 |  0","","13.79 |  0","","","","","-27.8 |  0","","-33.22 |  0","-27.2 |  0","11.4 |  0","","","","","","","","","","","","","-15.49 |  0","","","","18.43 |  0","","","","","","","","","","","","","","","","","0.0218182280659676"
"data_channel_is_lifestyle","","","","","","","","","","","","","","-11 |  0","-10.24 |  0","","-11.28 |  0","-12.28 |  0","","","","","","-13.21 |  0","","","","","","","","","","","","","","","","","-11.62 |  0","","24.57 |  0","","","","","","","","","","","","","","","","","0.00583126721903682"
"data_channel_is_entertainment","","","","","","","","","","","","","","","-20.15 |  0","-11.61 |  0","-22.19 |  0","-24.18 |  0","","","","","","","","","","","","","","","","","","","","","-21.02 |  0","59.94 |  0","-20.81 |  0","20.91 |  0","-27.49 |  0","","","","10.5 |  0","","","","","","-12.61 |  0","-10.54 |  0","","","","","","-0.0170061979442835"
"data_channel_is_bus","","","","","","","","","","","","","","","","-10.8 |  0","-20.65 |  0","-22.49 |  0","","","","","","18 |  0","","","","","","","","","","","","","","","77.47 |  0","-12.68 |  0","-20.79 |  0","-23.12 |  0","-16.92 |  0","","","","","12.65 |  0","","","","","","","","","","","","-0.0123761659488082"
"data_channel_is_socmed","","","","","","","","","","","","","","","","","-11.9 |  0","-12.96 |  0","","","","","","","","","","","","","","","","","","","","","19.56 |  0","","","","","","","10.1 |  0","","","","","","","","","","","","","","0.00502121634781361"
"data_channel_is_tech","","","","","","","","","","","","","","","","","","-24.78 |  0","","","","","","-16.17 |  0","","","-14.1 |  0","","","","","","","","","","","","-20.04 |  0","-16.5 |  0","-17.94 |  0","-26.16 |  0","74.97 |  0","","13.02 |  0","","","16.15 |  0","-11.41 |  0","","","","11.48 |  0","11.61 |  0","","","","","","-0.0132528748363256"
"data_channel_is_world","","","","","","","","","","","","","","","","","","","","","","","","-11.84 |  0","-12.97 |  0","","-24.09 |  0","","","","","","","","","","","","-23.33 |  0","-20.58 |  0","83.66 |  0","-26.64 |  0","-17.58 |  0","-17.92 |  0","-22.92 |  0","-24.72 |  0","","-16.06 |  0","19.28 |  0","-14.55 |  0","","-12.11 |  0","","","","","","","","-0.0494973100721836"
"kw_min_min","","","","","","","","","","","","","","","","","","","","","11.28 |  0","","-85.72 |  0","-50.27 |  0","-13.71 |  0","","-18.4 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.00105098774656653"
"kw_max_min","","","","","","","","","","","","","","","","","","","","","94.05 |  0","","","","","59.05 |  0","41.13 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0301139373332262"
"kw_avg_min","","","","","","","","","","","","","","","","","","","","","","","-10.69 |  0","-12.91 |  0","","54.57 |  0","38.43 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0304055474698544"
"kw_min_max","","","","","","","","","","","","","","","","","","","","","","","","41.15 |  0","35.31 |  0","","17.22 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00390143203549087"
"kw_max_max","","","","","","","","","","","","","","","","","","","","","","","","56.34 |  0","15.87 |  0","","22.7 |  0","","","","","","","","","","","","","","","","","","","-10.74 |  0","","","","","","","","","","","","","","0.0078625688329339"
"kw_avg_max","","","","","","","","","","","","","","","","","","","","","","","","","40.77 |  0","13.95 |  0","42.73 |  0","","","","","","","","","","","","11.52 |  0","","-11.99 |  0","29.6 |  0","-22.95 |  0","","","-11.06 |  0","","-15.29 |  0","","","","","","","","","","","","0.0446858443319798"
"kw_min_avg","","","","","","","","","","","","","","","","","","","","","","","","","","","45.16 |  0","","","","","","","","","","","","","","-12.51 |  0","18.12 |  0","","","","","","","","","","","","","","","","","","0.0395506955683231"
"kw_max_avg","","","","","","","","","","","","","","","","","","","","","","","","","","","81.19 |  0","","18.68 |  0","16.04 |  0","","","","","","","","","","","-10.13 |  0","19.74 |  0","","","","","","","","","","","","","","","","","","0.0643058642745018"
"kw_avg_avg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.32 |  0","16.86 |  0","","","","","","","","","","","-27.17 |  0","43.61 |  0","-15.35 |  0","","","","","-10.08 |  0","","","","","","","","","","","","0.110412865877151"
"self_reference_min_shares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.05 |  0","81.89 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0559575743973255"
"self_reference_max_shares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.35 |  0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.047115221619606"
"self_reference_avg_sharess","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.057788897305727"
"weekday_is_monday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-21.51 |  0","-21.59 |  0","-21.29 |  0","-18.42 |  0","-11.54 |  0","-12.24 |  0","-17.44 |  0","","","","","","","","","","","","","","","","","","","","","","0.00972643494606018"
"weekday_is_tuesday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-23 |  0","-22.68 |  0","-19.62 |  0","-12.29 |  0","-13.04 |  0","-18.58 |  0","","","","","","","","","","","","","","","","","","","","","","-0.00794065184891224"
"weekday_is_wednesday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-22.76 |  0","-19.69 |  0","-12.34 |  0","-13.08 |  0","-18.65 |  0","","","","","","","","","","","","","","","","","","","","","","-0.00380067201331258"
"weekday_is_thursday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-19.42 |  0","-12.17 |  0","-12.9 |  0","-18.39 |  0","","","","","","","","","","","","","","","","","","","","","","-0.00883324351161718"
"weekday_is_friday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.53 |  0","-11.16 |  0","-15.91 |  0","","","","","","","","","","","","","","","","","","","","","","-0.00388434994965792"
