"","row","column","cor","p","selection","rcor","ccor"
"1","timedelta","n_tokens_title",-0.240319669246674,"0","n_tokens_title",0.00866228807717562,0.0087831187993288
"10","n_unique_tokens","n_non_stop_words",0.999571740627289,"0","n_unique_tokens",0.000806345662567765,0.000442941614892334
"14","n_unique_tokens","n_non_stop_unique_tokens",0.999851524829865,"0","n_unique_tokens",0.000806345662567765,0.000114171962195542
"15","n_non_stop_words","n_non_stop_unique_tokens",0.999532341957092,"0","n_non_stop_words",0.000442941614892334,0.000114171962195542
"18","n_tokens_content","num_hrefs",0.423065096139908,"0","num_hrefs",0.00245898426510394,0.0454040095210075
"24","n_tokens_content","num_self_hrefs",0.30468213558197,"0","n_tokens_content",0.00245898426510394,-0.00190040341112763
"28","num_hrefs","num_self_hrefs",0.396452367305756,"0","num_hrefs",0.0454040095210075,-0.00190040341112763
"31","n_tokens_content","num_imgs",0.342600405216217,"0","num_imgs",0.00245898426510394,0.0393875986337662
"35","num_hrefs","num_imgs",0.342633217573166,"0","num_hrefs",0.0454040095210075,0.0393875986337662
"36","num_self_hrefs","num_imgs",0.238586157560349,"0","num_imgs",-0.00190040341112763,0.0393875986337662
"39","n_tokens_content","num_videos",0.103698566555977,"0","num_videos",0.00245898426510394,0.0239360686391592
"43","num_hrefs","num_videos",0.114518247544765,"0","num_hrefs",0.0454040095210075,0.0239360686391592
"46","timedelta","average_token_length",0.130464881658554,"0","average_token_length",0.00866228807717562,-0.0220072995871305
"48","n_tokens_content","average_token_length",0.167789176106453,"0","average_token_length",0.00245898426510394,-0.0220072995871305
"52","num_hrefs","average_token_length",0.222587674856186,"0","num_hrefs",0.0454040095210075,-0.0220072995871305
"53","num_self_hrefs","average_token_length",0.126879259943962,"0","average_token_length",-0.00190040341112763,-0.0220072995871305
"62","num_hrefs","num_keywords",0.125890493392944,"0","num_hrefs",0.0454040095210075,0.0218182280659676
"78","num_keywords","data_channel_is_lifestyle",0.12457774579525,"0","num_keywords",0.0218182280659676,0.00583126721903682
"80","n_tokens_title","data_channel_is_entertainment",0.132790595293045,"0","data_channel_is_entertainment",0.0087831187993288,-0.0170061979442835
"88","num_videos","data_channel_is_entertainment",0.146815598011017,"0","num_videos",0.0239360686391592,-0.0170061979442835
"91","data_channel_is_lifestyle","data_channel_is_entertainment",-0.110031753778458,"0","data_channel_is_entertainment",0.00583126721903682,-0.0170061979442835
"100","num_imgs","data_channel_is_bus",-0.142542406916618,"0","num_imgs",0.0393875986337662,-0.0123761659488082
"103","num_keywords","data_channel_is_bus",-0.166491538286209,"0","num_keywords",0.0218182280659676,-0.0123761659488082
"104","data_channel_is_lifestyle","data_channel_is_bus",-0.102368362247944,"0","data_channel_is_bus",0.00583126721903682,-0.0123761659488082
"105","data_channel_is_entertainment","data_channel_is_bus",-0.201476067304611,"0","data_channel_is_entertainment",-0.0170061979442835,-0.0123761659488082
"119","data_channel_is_entertainment","data_channel_is_socmed",-0.116100966930389,"0","data_channel_is_entertainment",-0.0170061979442835,0.00502121634781361
"120","data_channel_is_bus","data_channel_is_socmed",-0.10801487416029,"0","data_channel_is_bus",-0.0123761659488082,0.00502121634781361
"128","num_self_hrefs","data_channel_is_tech",0.166668117046356,"0","data_channel_is_tech",-0.00190040341112763,-0.0132528748363256
"132","num_keywords","data_channel_is_tech",0.137935847043991,"0","num_keywords",0.0218182280659676,-0.0132528748363256
"133","data_channel_is_lifestyle","data_channel_is_tech",-0.112763307988644,"0","data_channel_is_tech",0.00583126721903682,-0.0132528748363256
"134","data_channel_is_entertainment","data_channel_is_tech",-0.221934854984283,"0","data_channel_is_entertainment",-0.0170061979442835,-0.0132528748363256
"135","data_channel_is_bus","data_channel_is_tech",-0.206477731466293,"0","data_channel_is_tech",-0.0123761659488082,-0.0132528748363256
"136","data_channel_is_socmed","data_channel_is_tech",-0.118983194231987,"0","data_channel_is_tech",0.00502121634781361,-0.0132528748363256
"137","timedelta","data_channel_is_world",-0.170249626040459,"0","data_channel_is_world",0.00866228807717562,-0.0494973100721836
"144","num_self_hrefs","data_channel_is_world",-0.118836708366871,"0","data_channel_is_world",-0.00190040341112763,-0.0494973100721836
"145","num_imgs","data_channel_is_world",-0.106480181217194,"0","data_channel_is_world",0.0393875986337662,-0.0494973100721836
"149","data_channel_is_lifestyle","data_channel_is_world",-0.122848846018314,"0","data_channel_is_world",0.00583126721903682,-0.0494973100721836
"150","data_channel_is_entertainment","data_channel_is_world",-0.241784676909447,"0","data_channel_is_world",-0.0170061979442835,-0.0494973100721836
"151","data_channel_is_bus","data_channel_is_world",-0.224945083260536,"0","data_channel_is_world",-0.0123761659488082,-0.0494973100721836
"152","data_channel_is_socmed","data_channel_is_world",-0.129625037312508,"0","data_channel_is_world",0.00502121634781361,-0.0494973100721836
"153","data_channel_is_tech","data_channel_is_world",-0.247787028551102,"0","data_channel_is_world",-0.0132528748363256,-0.0494973100721836
"154","timedelta","kw_min_min",0.591198801994324,"0","timedelta",0.00866228807717562,-0.00105098774656653
"155","n_tokens_title","kw_min_min",-0.110672332346439,"0","n_tokens_title",0.0087831187993288,-0.00105098774656653
"191","timedelta","kw_avg_min",0.133224785327911,"0","kw_avg_min",0.00866228807717562,0.0304055474698544
"209","kw_min_min","kw_avg_min",0.112828798592091,"0","kw_avg_min",-0.00105098774656653,0.0304055474698544
"210","kw_max_min","kw_avg_min",0.940528690814972,"0","kw_avg_min",0.0301139373332262,0.0304055474698544
"222","num_keywords","kw_min_max",-0.278041630983353,"0","num_keywords",0.0218182280659676,0.00390143203549087
"232","timedelta","kw_max_max",-0.637823939323425,"0","timedelta",0.00866228807717562,0.0078625688329339
"233","n_tokens_title","kw_max_max",0.12084075063467,"0","n_tokens_title",0.0087831187993288,0.0078625688329339
"250","kw_min_min","kw_max_max",-0.857226252555847,"0","kw_max_max",-0.00105098774656653,0.0078625688329339
"252","kw_avg_min","kw_max_max",-0.106933273375034,"0","kw_avg_min",0.0304055474698544,0.0078625688329339
"254","timedelta","kw_avg_max",-0.493093371391296,"0","kw_avg_max",0.00866228807717562,0.0446858443319798
"255","n_tokens_title","kw_avg_max",0.115745842456818,"0","kw_avg_max",0.0087831187993288,0.0446858443319798
"263","num_videos","kw_avg_max",0.136227816343307,"0","kw_avg_max",0.0239360686391592,0.0446858443319798
"264","average_token_length","kw_avg_max",-0.157418876886368,"0","kw_avg_max",-0.0220072995871305,0.0446858443319798
"265","num_keywords","kw_avg_max",-0.332221060991287,"0","kw_avg_max",0.0218182280659676,0.0446858443319798
"266","data_channel_is_lifestyle","kw_avg_max",-0.13209094107151,"0","kw_avg_max",0.00583126721903682,0.0446858443319798
"268","data_channel_is_bus","kw_avg_max",0.180032357573509,"0","kw_avg_max",-0.0123761659488082,0.0446858443319798
"270","data_channel_is_tech","kw_avg_max",-0.161674723029137,"0","kw_avg_max",-0.0132528748363256,0.0446858443319798
"271","data_channel_is_world","kw_avg_max",-0.118367820978165,"0","data_channel_is_world",-0.0494973100721836,0.0446858443319798
"272","kw_min_min","kw_avg_max",-0.50271862745285,"0","kw_avg_max",-0.00105098774656653,0.0446858443319798
"274","kw_avg_min","kw_avg_max",-0.129136458039284,"0","kw_avg_max",0.0304055474698544,0.0446858443319798
"275","kw_min_max","kw_avg_max",0.411493510007858,"0","kw_avg_max",0.00390143203549087,0.0446858443319798
"276","kw_max_max","kw_avg_max",0.563352704048157,"0","kw_avg_max",0.0078625688329339,0.0446858443319798
"277","timedelta","kw_min_avg",-0.157203555107117,"0","kw_min_avg",0.00866228807717562,0.0395506955683231
"288","num_keywords","kw_min_avg",-0.272042065858841,"0","kw_min_avg",0.0218182280659676,0.0395506955683231
"294","data_channel_is_world","kw_min_avg",-0.129712611436844,"0","data_channel_is_world",-0.0494973100721836,0.0395506955683231
"295","kw_min_min","kw_min_avg",-0.137094184756279,"0","kw_min_avg",-0.00105098774656653,0.0395506955683231
"298","kw_min_max","kw_min_avg",0.353098928928375,"0","kw_min_avg",0.00390143203549087,0.0395506955683231
"299","kw_max_max","kw_min_avg",0.158726826310158,"0","kw_min_avg",0.0078625688329339,0.0395506955683231
"300","kw_avg_max","kw_min_avg",0.407676577568054,"0","kw_avg_max",0.0446858443319798,0.0395506955683231
"312","num_keywords","kw_max_avg",0.114036127924919,"0","kw_max_avg",0.0218182280659676,0.0643058642745018
"320","kw_max_min","kw_max_avg",0.590467691421509,"0","kw_max_avg",0.0301139373332262,0.0643058642745018
"321","kw_avg_min","kw_max_avg",0.545685648918152,"0","kw_max_avg",0.0304055474698544,0.0643058642745018
"324","kw_avg_max","kw_max_avg",0.139529883861542,"0","kw_max_avg",0.0446858443319798,0.0643058642745018
"326","timedelta","kw_avg_avg",-0.163163647055626,"0","kw_avg_avg",0.00866228807717562,0.110412865877151
"332","num_hrefs","kw_avg_avg",0.121418632566929,"0","kw_avg_avg",0.0454040095210075,0.110412865877151
"334","num_imgs","kw_avg_avg",0.145235523581505,"0","kw_avg_avg",0.0393875986337662,0.110412865877151
"335","num_videos","kw_avg_avg",0.10681539773941,"0","kw_avg_avg",0.0239360686391592,0.110412865877151
"336","average_token_length","kw_avg_avg",-0.136393159627914,"0","kw_avg_avg",-0.0220072995871305,0.110412865877151
"342","data_channel_is_tech","kw_avg_avg",-0.140957653522491,"0","kw_avg_avg",-0.0132528748363256,0.110412865877151
"343","data_channel_is_world","kw_avg_avg",-0.240883201360703,"0","kw_avg_avg",-0.0494973100721836,0.110412865877151
"344","kw_min_min","kw_avg_avg",-0.184018358588219,"0","kw_avg_avg",-0.00105098774656653,0.110412865877151
"345","kw_max_min","kw_avg_avg",0.411260783672333,"0","kw_avg_avg",0.0301139373332262,0.110412865877151
"346","kw_avg_min","kw_avg_avg",0.384317368268967,"0","kw_avg_avg",0.0304055474698544,0.110412865877151
"347","kw_min_max","kw_avg_avg",0.172241985797882,"0","kw_avg_avg",0.00390143203549087,0.110412865877151
"348","kw_max_max","kw_avg_avg",0.226998388767242,"0","kw_avg_avg",0.0078625688329339,0.110412865877151
"349","kw_avg_max","kw_avg_avg",0.427308052778244,"0","kw_avg_avg",0.0446858443319798,0.110412865877151
"350","kw_min_avg","kw_avg_avg",0.451568692922592,"0","kw_avg_avg",0.0395506955683231,0.110412865877151
"351","kw_max_avg","kw_avg_avg",0.811864376068115,"0","kw_avg_avg",0.0643058642745018,0.110412865877151
"386","num_self_hrefs","self_reference_max_shares",0.130187153816223,"0","self_reference_max_shares",-0.00190040341112763,0.047115221619606
"404","kw_max_avg","self_reference_max_shares",0.186754018068314,"0","kw_max_avg",0.0643058642745018,0.047115221619606
"405","kw_avg_avg","self_reference_max_shares",0.183228522539139,"0","kw_avg_avg",0.110412865877151,0.047115221619606
"406","self_reference_min_shares","self_reference_max_shares",0.480475932359695,"0","self_reference_min_shares",0.0559575743973255,0.047115221619606
"432","kw_max_avg","self_reference_avg_sharess",0.160416707396507,"0","kw_max_avg",0.0643058642745018,0.057788897305727
"433","kw_avg_avg","self_reference_avg_sharess",0.168581321835518,"0","kw_avg_avg",0.110412865877151,0.057788897305727
"434","self_reference_min_shares","self_reference_avg_sharess",0.818907141685486,"0","self_reference_avg_sharess",0.0559575743973255,0.057788897305727
"435","self_reference_max_shares","self_reference_avg_sharess",0.853480219841003,"0","self_reference_avg_sharess",0.047115221619606,0.057788897305727
"496","weekday_is_monday","weekday_is_tuesday",-0.215107262134552,"0","weekday_is_monday",0.00972643494606018,-0.00794065184891224
"527","weekday_is_monday","weekday_is_wednesday",-0.215911865234375,"0","weekday_is_monday",0.00972643494606018,-0.00380067201331258
"528","weekday_is_tuesday","weekday_is_wednesday",-0.229975879192352,"0","weekday_is_tuesday",-0.00794065184891224,-0.00380067201331258
"559","weekday_is_monday","weekday_is_thursday",-0.212904050946236,"0","weekday_is_monday",0.00972643494606018,-0.00883324351161718
"560","weekday_is_tuesday","weekday_is_thursday",-0.226772144436836,"0","weekday_is_thursday",-0.00794065184891224,-0.00883324351161718
"561","weekday_is_wednesday","weekday_is_thursday",-0.227620378136635,"0","weekday_is_thursday",-0.00380067201331258,-0.00883324351161718
"592","weekday_is_monday","weekday_is_friday",-0.184172615408897,"0","weekday_is_monday",0.00972643494606018,-0.00388434994965792
"593","weekday_is_tuesday","weekday_is_friday",-0.196169212460518,"0","weekday_is_tuesday",-0.00794065184891224,-0.00388434994965792
"594","weekday_is_wednesday","weekday_is_friday",-0.196902975440025,"0","weekday_is_friday",-0.00380067201331258,-0.00388434994965792
"595","weekday_is_thursday","weekday_is_friday",-0.194159969687462,"0","weekday_is_thursday",-0.00883324351161718,-0.00388434994965792
"626","weekday_is_monday","weekday_is_saturday",-0.115412935614586,"0","weekday_is_saturday",0.00972643494606018,0.015082249417901
"627","weekday_is_tuesday","weekday_is_saturday",-0.12293067574501,"0","weekday_is_saturday",-0.00794065184891224,0.015082249417901
