"","timedelta","n_tokens_title","n_tokens_content","n_unique_tokens","n_non_stop_words","n_non_stop_unique_tokens","num_hrefs","num_self_hrefs","num_imgs","num_videos","average_token_length","num_keywords","data_channel_is_lifestyle","data_channel_is_entertainment","data_channel_is_bus","data_channel_is_socmed","data_channel_is_tech","data_channel_is_world","kw_min_min","kw_max_min","kw_avg_min","kw_min_max","kw_max_max","kw_avg_max","kw_min_avg","kw_max_avg","kw_avg_avg","self_reference_min_shares","self_reference_max_shares","self_reference_avg_sharess","weekday_is_monday","weekday_is_tuesday","weekday_is_wednesday","weekday_is_thursday","weekday_is_friday","weekday_is_saturday","weekday_is_sunday","is_weekend","LDA_00","LDA_01","LDA_02","LDA_03","LDA_04","global_subjectivity","global_sentiment_polarity","global_rate_positive_words","global_rate_negative_words","rate_positive_words","rate_negative_words","avg_positive_polarity","min_positive_polarity","max_positive_polarity","avg_negative_polarity","min_negative_polarity","max_negative_polarity","title_subjectivity","title_sentiment_polarity","abs_title_subjectivity","abs_title_sentiment_polarity","shares"
"timedelta","","0","0","","","","","0","3.72520203573146e-06","","0","0","0","0","0","0","0","0","0","4.21916879211892e-07","0","0","0","0","0","0","0","2.27653087041815","0.388421988310483","0.182607197605633","","","4.7327779409061","","","","","","0","","0","8.17932388486042e-08","0","0","0","0","4.09600452281911","0","0","0","0","0","","0","0","0.152634486641845","1.24344978758018e-12","2.14577252964914","","8.45799426374878"
"n_tokens_title","","","0.0299287883011257","","","","0","0.309588372494929","","0","0","","0","0","0.000193948069493466","0","0","0","0","","4.01715327669194e-08","1.00638651006335","0","0","","","","","","","","","","0.206516137721469","","0.279708591416838","","","0","0","2.1538326677728e-12","0","0","0","0","0","0.19870866303251","0","9.86832837668317e-10","0","5.97652394018766e-05","0.00160769835582109","0.0663894548365462","6.46819597882597e-07","2.29223841258763","0","","0","6.66133814775094e-14","8.03311476962847"
"n_tokens_content","","","","","0.04886763492844","","0","0","0","0","0","0","7.50510764646606e-12","0","","2.8027802301267e-09","4.19947681518096e-05","0","0","","","0.000569691722041021","0","0","0.000909239774915527","1.2530223525431e-07","0","9.89917925409145e-08","3.23390314527217e-05","0.596726439395145","","","0.0770481686635849","","0.149446249717489","6.039169164751e-10","4.21440660147709e-11","0","1.77958635161346e-05","","0","0","2.22044604925031e-14","0","0.00125319099009147","0","0","0","0","0","0","0","0","0","0","","0.000330014094451769","","0.745262109983069","62.4424925946391"
"n_unique_tokens","","","","","0","0","","","0.0181265046138135","","1.451723217194e-05","","","2.82780524340567","","","","","","","","","","","","","","","","","","3.58902456550956","","","","","","","","","","","","","","","","","","","","","","4.86526874068227","","","","","","87.2451898729171"
"n_non_stop_words","","","","","","0","","0.678050086024307","1.40473508380978e-06","","3.30119709346377e-08","","","2.99409764509551","","","","","","","","","","","","","","","","","","3.65426438702725","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.9725309621745"
"n_non_stop_unique_tokens","","","","","","","","","0.460595879341952","","9.87299131338659e-10","","","3.56135576592176","","","","","","","","","","","","","","","","","","3.6383980103821","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1864181268269"
"num_hrefs","","","","","","","","0","0","0","0","0","0","","0","0","0","3.24480442515096e-08","0","1.05472822464228","","0.0060145649319221","0","0.0124664205713554","0","0","0","","0","5.00961015337253e-05","","3.32760534091463","1.04668274047981e-08","1.09623465473776","","0","0","0","0.00627352873698861","0","1.25927680357636","0","0","0","0","0","9.44948563841308e-09","0","0","0","0","0","0","0","0","0","7.54951656745106e-13","","0","0"
"num_self_hrefs","","","","","","","","","0","0","0","0","0","9.70866146587923e-05","0","0","0","0","1.02385358290689","","","2.49023541787352e-05","","0","5.32907051820075e-13","0.665519639014756","0.187575439584542","4.99508434614881e-08","0","0.00102432146991127","1.57341629316483","","0.00506250952023723","0.399563421009863","0.00165219272483252","0","0.00193461806565765","0","0.00156446326342596","","0","1.00187138585284e-06","0","0","0","0","2.28246413144637","0","4.25349980272562","0","0","0","0","0","6.21724893790088e-13","2.52316195033659","1.76947954511064e-05","","","70.5152814316607"
"num_imgs","","","","","","","","","","0","1.41560096977855e-09","0","4.10634569491246","0","0","","","0","0","","","","0","","0","0","0","","2.867039938792e-10","0.00316358163574559","","","8.95450926741148e-05","","","7.96674570757716e-07","0","0","0","0","0","0","0.00057278550147366","0","0.00269370107373046","0","8.10456119104686e-05","0.00150675175065729","1.55431223447522e-13","0","8.87433035723362e-05","0","0","0","0","0","0","0.615036685260106","0","4.44089209850063e-13"
"num_videos","","","","","","","","","","","","0.000933859828000649","0","0","0","","0","0","0.339492846099199","","","0","","0","0","0","0","","0","6.42641495574026e-10","","","","","","","0.369784283247121","0.139078630291767","0","1.80604551788626","0","0","0","0","1.49351186973234e-06","0","0","0","0","0","4.42550831496815","0","0","0","5.73772258594119e-06","0","0.00120422226506101","0.00120260472642464","0","0.000187550871322273"
